Freq.	V(out)
6.30957344480188e+04	(1.56239946185213e+01dB,-1.03968603978939e+01°)
7.07945784384133e+04	(1.55921291745906e+01dB,-1.16388199375449e+01°)
7.94328234724275e+04	(1.55523410996378e+01dB,-1.30216981610859e+01°)
8.91250938133739e+04	(1.55027613827729e+01dB,-1.45585826204245e+01°)
9.99999999999992e+04	(1.54411348088279e+01dB,-1.62626626050569e+01°)
1.12201845430195e+05	(1.53647690598884e+01dB,-1.81467625301606e+01°)
1.25892541179416e+05	(1.52704924460424e+01dB,-2.02227092786842e+01°)
1.41253754462274e+05	(1.51546298069042e+01dB,-2.25005179343270e+01°)
1.58489319246110e+05	(1.50130091514678e+01dB,-2.49874012760641e+01°)
1.77827941003891e+05	(1.48410138530425e+01dB,-2.76866435813555e+01°)
1.99526231496886e+05	(1.46336953015681e+01dB,-3.05964292159145e+01°)
2.23872113856832e+05	(1.43859570828156e+01dB,-3.37087758505227e+01°)
2.51188643150956e+05	(1.40928124633148e+01dB,-3.70087767621438e+01°)
2.81838293126443e+05	(1.37497019555748e+01dB,-4.04743832029606e+01°)
3.16227766016835e+05	(1.33528392796264e+01dB,-4.40769294644643e+01°)
3.54813389233572e+05	(1.28995374380778e+01dB,-4.77825028851755e+01°)
3.98107170553494e+05	(1.23884590471544e+01dB,-5.15540972291980e+01°)
4.46683592150959e+05	(1.18197423015573e+01dB,-5.53543028659399e+01°)
5.01187233627268e+05	(1.11949765820478e+01dB,-5.91481456833558e+01°)
5.62341325190344e+05	(1.05170334602934e+01dB,-6.29056457096180e+01°)
6.30957344480187e+05	(9.78978895596630e+00dB,-6.66037439005809e+01°)
7.07945784384131e+05	(9.01779147836698e+00dB,-7.02274099263362e+01°)
7.94328234724274e+05	(8.20593268456636e+00dB,-7.37699329540531e+01°)
8.91250938133737e+05	(7.35916793550591e+00dB,-7.72325524327613e+01°)
9.99999999999990e+05	(6.48231555712787e+00dB,-8.06236763053181e+01°)
1.12201845430195e+06	(5.57994617076481e+00dB,-8.39579623349516e+01°)
1.25892541179415e+06	(4.65635869802914e+00dB,-8.72555271126552e+01°)
1.41253754462274e+06	(3.71562872951787e+00dB,-9.05415227776683e+01°)
1.58489319246110e+06	(2.76170590788676e+00dB,-9.38463005143628e+01°)
