Freq.	V(out)
8.91250938133739e+04	(6.54712653510953e+00dB,-9.03273583741627e+00°)
9.99999999999992e+04	(6.51163149055206e+00dB,-1.00971122682823e+01°)
1.12201845430195e+05	(6.46750075963857e+00dB,-1.12765121076084e+01°)
1.25892541179416e+05	(6.41280103583156e+00dB,-1.25793834083120e+01°)
1.41253754462274e+05	(6.34525550269181e+00dB,-1.40132806048666e+01°)
1.58489319246110e+05	(6.26222930650578e+00dB,-1.55842142029009e+01°)
1.77827941003891e+05	(6.16074056705189e+00dB,-1.72958491143310e+01°)
1.99526231496886e+05	(6.03751034560828e+00dB,-1.91485776884328e+01°)
2.23872113856832e+05	(5.88906638490156e+00dB,-2.11385363015625e+01°)
2.51188643150956e+05	(5.71191392626200e+00dB,-2.32566914492071e+01°)
2.81838293126443e+05	(5.50278060678851e+00dB,-2.54881845627880e+01°)
3.16227766016835e+05	(5.25892991193841e+00dB,-2.78121762781506e+01°)
3.54813389233572e+05	(4.97851914021901e+00dB,-3.02024434969416e+01°)
3.98107170553494e+05	(4.66095646000943e+00dB,-3.26289276275989e+01°)
4.46683592150959e+05	(4.30719373657085e+00dB,-3.50602944217308e+01°)
5.01187233627268e+05	(3.91988529840558e+00dB,-3.74673586267600e+01°)
5.62341325190344e+05	(3.50335371888782e+00dB,-3.98269988348442e+01°)
6.30957344480187e+05	(3.06333254828223e+00dB,-4.21260087699729e+01°)
7.07945784384131e+05	(2.60649668378046e+00dB,-4.43642616949934e+01°)
7.94328234724274e+05	(2.13983353851682e+00dB,-4.65566309716789e+01°)
8.91250938133737e+05	(1.66994238147689e+00dB,-4.87332982992035e+01°)
9.99999999999990e+05	(1.20236837617889e+00dB,-5.09383522532782e+01°)
1.12201845430195e+06	(7.41078696824766e-01dB,-5.32268856904687e+01°)
1.25892541179415e+06	(2.88170104485354e-01dB,-5.56610930448818e+01°)
1.41253754462274e+06	(-1.56137369257514e-01dB,-5.83061005379378e+01°)
1.58489319246110e+06	(-5.93212196367785e-01dB,-6.12263965931042e+01°)
1.77827941003891e+06	(-1.02547036488155e+00dB,-6.44837549352635e+01°)
1.99526231496886e+06	(-1.45567132950649e+00dB,-6.81374839565346e+01°)
2.23872113856832e+06	(-1.88618561226835e+00dB,-7.22477472889391e+01°)
2.51188643150955e+06	(-2.31842021112462e+00dB,-7.68826440262264e+01°)
2.81838293126442e+06	(-2.75267099293637e+00dB,-8.21297484632938e+01°)
3.16227766016835e+06	(-3.18883940598707e+00dB,-8.81128137139098e+01°)
3.54813389233572e+06	(-3.62880751489360e+00dB,-9.50138686060492e+01°)
3.98107170553493e+06	(-4.08196448294497e+00dB,-1.03098223866257e+02°)
4.46683592150958e+06	(-4.57642005440576e+00dB,-1.12729679803767e+02°)
5.01187233627267e+06	(-5.17852325129509e+00dB,-1.24333892019740e+02°)
5.50000000000000e+06	(-5.82817782211934e+00dB,-1.35360847944622e+02°)
