Freq.	V(out)
1.58489319246110e+06	(2.94310396789853e+00dB,-9.48959098474570e+01°)
1.77827941003891e+06	(1.97776500025532e+00dB,-9.83744484408861e+01°)
1.99526231496886e+06	(1.00667678526658e+00dB,-1.01972546410991e+02°)
2.23872113856832e+06	(3.35927834908206e-02dB,-1.05749851078544e+02°)
2.51188643150955e+06	(-9.38059698126537e-01dB,-1.09782676772016e+02°)
2.81838293126442e+06	(-1.90584061012360e+00dB,-1.14169941214041e+02°)
3.16227766016835e+06	(-2.86958385212643e+00dB,-1.19040004401886e+02°)
3.54813389233572e+06	(-3.83368539715042e+00dB,-1.24557091503928e+02°)
3.98107170553493e+06	(-4.81091783520446e+00dB,-1.30923627141048e+02°)
4.46683592150958e+06	(-5.82824858576344e+00dB,-1.38369590949936e+02°)
5.01187233627267e+06	(-6.93418093330794e+00dB,-1.47111184057808e+02°)
5.50000000000000e+06	(-7.94205345062133e+00dB,-1.55193068990717e+02°)
